cycle,core_done,if_pc,if_asm,id_asm,ex_asm,mem_asm,wb_asm,fwd_a,fwd_b,if_stall,id_stall,flush,wb_we,wb_rd,wb_wdata
0,0,0x00000000,"addi x1, x0, 5",nop,nop,nop,nop,0,0,0,0,0,0,0,0
1,0,0x00000004,"addi x2, x0, 10","addi x1, x0, 5",nop,nop,nop,0,0,0,0,0,0,0,0
2,0,0x00000008,"add x3, x1, x2","addi x2, x0, 10","addi x1, x0, 5",nop,nop,0,0,0,0,0,0,0,4294967295
3,0,0x0000000c,"sub x4, x3, x1","add x3, x1, x2","addi x2, x0, 10","addi x1, x0, 5",nop,0,0,0,0,0,1,0,0
4,0,0x00000010,"add x5, x4, x3","sub x4, x3, x1","add x3, x1, x2","addi x2, x0, 10","addi x1, x0, 5",2,1,0,0,0,1,1,5
5,0,0x00000014,"sw x5, +0(x0)","add x5, x4, x3","sub x4, x3, x1","add x3, x1, x2","addi x2, x0, 10",1,0,0,0,0,1,2,10
6,0,0x00000018,"lw x6, +0(x0)","sw x5, +0(x0)","add x5, x4, x3","sub x4, x3, x1","add x3, x1, x2",1,2,0,0,0,1,3,15
7,0,0x0000001c,"add x7, x6, x1","lw x6, +0(x0)","sw x5, +0(x0)","add x5, x4, x3","sub x4, x3, x1",0,1,0,0,0,1,4,10
8,0,0x00000020,"addi x8, x7, 3","add x7, x6, x1","lw x6, +0(x0)","sw x5, +0(x0)","add x5, x4, x3",0,0,1,1,0,1,5,25
9,0,0x00000020,"addi x8, x7, 3","add x7, x6, x1",nop,"lw x6, +0(x0)","sw x5, +0(x0)",0,0,0,0,0,0,0,0
10,0,0x00000024,"sw x8, +4(x0)","addi x8, x7, 3","add x7, x6, x1",nop,"lw x6, +0(x0)",2,0,0,0,0,1,6,25
11,0,0x00000028,"lw x9, +4(x0)","sw x8, +4(x0)","addi x8, x7, 3","add x7, x6, x1",nop,1,0,0,0,0,0,0,4294967295
12,0,0x0000002c,"sub x10, x9, x1","lw x9, +4(x0)","sw x8, +4(x0)","addi x8, x7, 3","add x7, x6, x1",0,1,0,0,0,1,7,30
13,0,0x00000030,"beq x10, x2, +12","sub x10, x9, x1","lw x9, +4(x0)","sw x8, +4(x0)","addi x8, x7, 3",0,0,1,1,0,1,8,33
14,0,0x00000030,"beq x10, x2, +12","sub x10, x9, x1",nop,"lw x9, +4(x0)","sw x8, +4(x0)",0,0,0,0,0,0,4,4
15,0,0x00000034,"addi x11, x0, 111","beq x10, x2, +12","sub x10, x9, x1",nop,"lw x9, +4(x0)",2,0,0,0,0,1,9,33
16,0,0x00000038,"add x12, x11, x1","addi x11, x0, 111","beq x10, x2, +12","sub x10, x9, x1",nop,1,0,0,0,0,0,0,4294967295
17,0,0x0000003c,"addi x13, x0, 13","add x12, x11, x1","addi x11, x0, 111","beq x10, x2, +12","sub x10, x9, x1",0,0,0,0,0,1,10,28
18,0,0x00000040,"beq x13, x0, +80","addi x13, x0, 13","add x12, x11, x1","addi x11, x0, 111","beq x10, x2, +12",1,0,0,0,0,0,12,4294967295
19,0,0x00000044,"addi x14, x13, 1","beq x13, x0, +80","addi x13, x0, 13","add x12, x11, x1","addi x11, x0, 111",0,0,0,0,0,1,11,111
20,0,0x00000048,"add x15, x14, x13","addi x14, x13, 1","beq x13, x0, +80","addi x13, x0, 13","add x12, x11, x1",1,0,0,0,0,1,12,116
21,0,0x0000004c,"jal x16, +12","add x15, x14, x13","addi x14, x13, 1","beq x13, x0, +80","addi x13, x0, 13",2,0,0,0,0,1,13,13
22,0,0x00000050,"addi x17, x0, 17","jal x16, +12","add x15, x14, x13","addi x14, x13, 1","beq x13, x0, +80",1,0,0,0,0,0,16,4294967295
23,0,0x00000054,"add x18, x17, x1","addi x17, x0, 17","jal x16, +12","add x15, x14, x13","addi x14, x13, 1",0,0,0,0,1,1,14,14
24,0,0x00000058,"addi x19, x16, 4",nop,nop,"jal x16, +12","add x15, x14, x13",0,0,0,0,1,1,15,27
25,0,0x00000058,"addi x19, x16, 4",nop,nop,nop,"jal x16, +12",0,0,0,0,0,1,16,80
26,0,0x0000005c,"add x20, x19, x2","addi x19, x16, 4",nop,nop,nop,0,0,0,0,0,0,0,4294967295
27,0,0x00000060,"sw x20, +8(x0)","add x20, x19, x2","addi x19, x16, 4",nop,nop,0,0,0,0,0,0,0,4294967295
28,0,0x00000064,"lw x21, +8(x0)","sw x20, +8(x0)","add x20, x19, x2","addi x19, x16, 4",nop,1,0,0,0,0,1,0,0
29,0,0x00000068,"beq x21, x20, +8","lw x21, +8(x0)","sw x20, +8(x0)","add x20, x19, x2","addi x19, x16, 4",0,1,0,0,0,1,19,84
30,0,0x0000006c,"addi x22, x0, 22","beq x21, x20, +8","lw x21, +8(x0)","sw x20, +8(x0)","add x20, x19, x2",0,0,1,1,0,1,20,94
31,0,0x0000006c,"addi x22, x0, 22","beq x21, x20, +8",nop,"lw x21, +8(x0)","sw x20, +8(x0)",0,0,0,0,0,0,8,8
32,0,0x00000070,"sub x23, x21, x1","addi x22, x0, 22","beq x21, x20, +8",nop,"lw x21, +8(x0)",2,0,0,0,1,1,21,94
33,0,0x00000074,"add x24, x23, x21",nop,nop,"beq x21, x20, +8",nop,0,0,0,0,1,0,0,4294967295
34,0,0x00000070,"sub x23, x21, x1",nop,nop,nop,"beq x21, x20, +8",0,0,0,0,0,0,8,4294967295
35,0,0x00000074,"add x24, x23, x21","sub x23, x21, x1",nop,nop,nop,0,0,0,0,0,0,0,4294967295
36,0,0x00000078,"beq x24, x0, +28","add x24, x23, x21","sub x23, x21, x1",nop,nop,0,0,0,0,0,0,0,4294967295
37,0,0x0000007c,"addi x25, x24, -1","beq x24, x0, +28","add x24, x23, x21","sub x23, x21, x1",nop,1,0,0,0,0,1,0,0
38,0,0x00000080,"sw x25, +12(x0)","addi x25, x24, -1","beq x24, x0, +28","add x24, x23, x21","sub x23, x21, x1",1,0,0,0,0,1,23,89
39,0,0x00000084,"lw x26, +12(x0)","sw x25, +12(x0)","addi x25, x24, -1","beq x24, x0, +28","add x24, x23, x21",2,0,0,0,0,1,24,183
40,0,0x00000088,"add x27, x26, x25","lw x26, +12(x0)","sw x25, +12(x0)","addi x25, x24, -1","beq x24, x0, +28",0,1,0,0,0,0,28,4294967295
41,0,0x0000008c,"jal x0, +12","add x27, x26, x25","lw x26, +12(x0)","sw x25, +12(x0)","addi x25, x24, -1",0,0,1,1,0,1,25,182
42,0,0x0000008c,"jal x0, +12","add x27, x26, x25",nop,"lw x26, +12(x0)","sw x25, +12(x0)",0,0,0,0,0,0,12,12
43,0,0x00000090,"addi x28, x0, 28","jal x0, +12","add x27, x26, x25",nop,"lw x26, +12(x0)",2,0,0,0,0,1,26,182
44,0,0x00000094,"addi x29, x0, 29","addi x28, x0, 28","jal x0, +12","add x27, x26, x25",nop,0,0,0,0,1,0,0,4294967295
45,0,0x00000098,"addi x30, x0, 30",nop,nop,"jal x0, +12","add x27, x26, x25",0,0,0,0,1,1,27,364
46,0,0x00000098,"addi x30, x0, 30",nop,nop,nop,"jal x0, +12",0,0,0,0,0,1,0,144
47,0,0x0000009c,"add x31, x30, x1","addi x30, x0, 30",nop,nop,nop,0,0,0,0,0,0,0,4294967295
48,0,0x000000a0,"sw x31, +16(x0)","add x31, x30, x1","addi x30, x0, 30",nop,nop,0,0,0,0,0,0,0,4294967295
49,0,0x000000a4,unknown,"sw x31, +16(x0)","add x31, x30, x1","addi x30, x0, 30",nop,1,0,0,0,0,1,0,0
50,0,0x000000a8,unknown,unknown,"sw x31, +16(x0)","add x31, x30, x1","addi x30, x0, 30",0,1,0,0,0,1,30,30
51,1,0x000000ac,unknown,unknown,unknown,"sw x31, +16(x0)","add x31, x30, x1",0,0,0,0,0,1,31,35
