cycle,core_done,if_pc,if_asm,id_asm,ex_asm,mem_asm,wb_asm,fwd_a,fwd_b,if_stall,id_stall,flush,wb_we,wb_rd,wb_wdata
0,0,0x00000000,"addi x1, x0, 5",unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0
1,0,0x00000004,"add x2, x1, x1","addi x1, x0, 5",unknown,unknown,unknown,0,0,0,0,0,0,0,0
2,0,0x00000008,"add x3, x2, x1","add x2, x1, x1","addi x1, x0, 5",unknown,unknown,0,0,0,0,0,0,0,0
3,0,0x0000000c,"addi x4, x3, 7","add x3, x2, x1","add x2, x1, x1","addi x1, x0, 5",unknown,1,1,0,0,0,0,0,0
4,0,0x00000010,"add x5, x4, x2","addi x4, x3, 7","add x3, x2, x1","add x2, x1, x1","addi x1, x0, 5",1,2,0,0,0,1,1,5
5,0,0x00000014,"sub x6, x5, x1","add x5, x4, x2","addi x4, x3, 7","add x3, x2, x1","add x2, x1, x1",1,0,0,0,0,1,2,10
6,0,0x00000018,"xor x7, x6, x2","sub x6, x5, x1","add x5, x4, x2","addi x4, x3, 7","add x3, x2, x1",1,0,0,0,0,1,3,15
7,0,0x0000001c,"or x8, x7, x3","xor x7, x6, x2","sub x6, x5, x1","add x5, x4, x2","addi x4, x3, 7",1,0,0,0,0,1,4,22
8,0,0x00000020,"and x9, x8, x4","or x8, x7, x3","xor x7, x6, x2","sub x6, x5, x1","add x5, x4, x2",1,0,0,0,0,1,5,32
9,0,0x00000024,"xori x10, x9, 15","and x9, x8, x4","or x8, x7, x3","xor x7, x6, x2","sub x6, x5, x1",1,0,0,0,0,1,6,27
10,0,0x00000028,"ori x11, x10, 85","xori x10, x9, 15","and x9, x8, x4","or x8, x7, x3","xor x7, x6, x2",1,0,0,0,0,1,7,17
11,0,0x0000002c,"andi x12, x11, 15","ori x11, x10, 85","xori x10, x9, 15","and x9, x8, x4","or x8, x7, x3",1,0,0,0,0,1,8,31
12,1,0x00000030,unknown,"andi x12, x11, 15","ori x11, x10, 85","xori x10, x9, 15","and x9, x8, x4",1,0,0,0,0,1,9,22
